PRODUCT_ID,PRODUCT_NAME,MANUFACTURER_ID,PRICE
A000000001,아이폰 15 프로 맥스,M000000001,1600000
A000000002,아이폰 15,M000000001,1400000
A000000003,아이폰 15 플러스,M000000001,1500000
A000000004,갤럭시 S23 울트라,M000000002,1800000
A000000005,갤럭시 S23,M000000002,1700000
A000000006,갤럭시 Z 플립 5,M000000002,1600000
A000000007,갤럭시 Z 폴드 5,M000000002,2300000
A000000008,구글 픽셀 8,M000000003,1100000
A000000009,구글 픽셀 8 프로,M000000003,1200000
A000000010,샤오미 13 프로,M000000003,900000
A000000011,샤오미 13,M000000003,800000
A000000012,화웨이 P60 프로,M000000004,2000000
A000000013,화웨이 메이트 60 프로,M000000004,2200000
A000000014,원플러스 11,M000000005,1300000
A000000015,소니 엑스페리아 1 V,M000000005,1400000
A000000016,오포 파인드 X6 프로,M000000005,2100000
A000000017,비보 X90 프로,M000000005,2000000
A000000018,모토로라 엣지 40,M000000002,950000
A000000019,노키아 XR21,M000000003,850000
A000000020,리얼미 GT 네오 5,M000000004,1300000
A000000021,아수스 ROG 폰 7,M000000002,1800000
A000000022,아너 매직 5 프로,M000000004,1700000
A000000023,레노버 리전 Y90,M000000002,1600000
A000000024,메이주 20 프로,M000000005,1200000
A000000025,TCL 40 R,M000000004,900000
A000000026,소니 엑스페리아 5 V,M000000003,1100000
A000000027,비보 V29 프로,M000000004,1200000
A000000028,오포 리노 10 프로,M000000005,850000
A000000029,화웨이 노바 11,M000000005,950000
A000000030,원플러스 노드 3,M000000003,1300000
A000000031,샤오미 레드미 노트 13,M000000002,1800000
A000000032,LG 윙,M000000004,1700000
A000000033,모토로라 레이저 40,M000000002,1300000
A000000034,구글 픽셀 폴드,M000000003,950000
A000000035,소니 엑스페리아 10 V,M000000005,850000
A000000036,갤럭시 A54,M000000002,900000
A000000037,갤럭시 A34,M000000004,1200000
A000000038,리얼미 나르조 60 프로,M000000003,800000
A000000039,아너 90,M000000004,1500000
A000000040,샤오미 13 라이트,M000000003,1100000
A000000041,아이폰 SE (2024),M000000001,1100000
A000000042,갤럭시 M14,M000000002,1400000
A000000043,화웨이 노바 Y91,M000000004,900000
A000000044,오포 A98,M000000003,850000
A000000045,비보 Y78,M000000005,800000
A000000046,원플러스 노드 CE 3,M000000003,900000
A000000047,샤오미 포코 F5,M000000002,950000
A000000048,아수스 젠폰 10,M000000004,750000
A000000049,리얼미 C53,M000000002,650000
A000000050,노키아 G42,M000000003,700000
